LGA,WARD,name,type,ownership,code,lga,Type_2,ownership2,no,
 ABA NORTH,OSUSU WARD 1,OSUSU 1,PRIMARY,PUBLIC,1,1,1,1,1,
,,EUNA HOSP,PRIMARY,PRIVATE,1,1,1,2,2,
,,OLIVE HOSP,SECONDARY,PRIVATE,1,1,2,2,3,
,,EZUMA HOSP,SECONDARY,PRIVATE,1,1,2,2,4,
,,HORSTMAN HOSP,SECONDARY,PRIVATE,1,1,2,2,5,
,,CHINWENDU HOSP,PRIMARY,PRIVATE,1,1,1,2,6,
,,CARE FOUNDATION,SECONDARY,PRIVATE,1,1,2,2,7,
,,INFANT JESUS,SECONDARY,PRIVATE,1,1,2,2,8,
,OSUSU WARD 11,OSUSU 11,PRIMARY,PUBLIC,1,1,1,1,9,
,,ST THERESA HOSP,PRIMARY,PRIVATE,1,1,1,2,10,
,,CLEHANSON HOSP,SECONDARY,PRIVATE,1,1,2,2,11,
,,UWALAKA HOSP,PRIMARY,PRIVATE,1,1,1,2,12,
,UMUOGOR WARD,UMUOGOR,PRIMARY,PUBLIC,1,1,1,1,13,
,,ASAOKE,PRIMARY,PUBLIC,1,1,1,1,14,
,UMUOLA WARD,UMUOLA EGBELU,PRIMARY,PUBLIC,1,1,1,1,15,
,,UMUOLA OKPULOR,PRIMARY,PUBLIC,1,1,1,1,16,
,,SDA HOSPITAL,SECONDARY,PRIVATE,1,1,2,2,17,
,,PRINCESS MARY HOSP,PRIMARY,PRIVATE,1,1,1,2,18,
,,ALPHA HOSP,SECONDARY,PRIVATE,1,1,2,2,19,
,URATTA WARD,URATTA,PRIMARY,PUBLIC,1,1,1,1,20,
,ARIARIA WARD,UMUNNEATO,PRIMARY,PUBLIC,1,1,1,1,21,
,,IVORY HOSP,SECONDARY,PRIVATE,1,1,2,2,22,
,,LAND MARK HOSP,SECONDARY,PRIVATE,1,1,2,2,23,
,,M & M HOSP,PRIMARY,PRIVATE,1,1,1,2,24,
,,NWAMAKA MATERNITY,PRIMARY,PRIVATE,1,1,1,2,25,
,,GOODNESS & MERCY,PRIMARY,PRIVATE,1,1,1,2,26,
,ASAOKPULOR WARD,ASAOKPULOR,PRIMARY,PUBLIC,1,1,1,1,27,
,EZIAMA WARD,EZIAMA,PRIMARY,PUBLIC,1,1,1,1,28,
,,P Z CLINIC,SECONDARY,PRIVATE,1,1,2,2,29,
,ASAOKPUALAJA,M.C. HOSP,PRIMARY,PRIVATE,1,1,1,2,30,
,,BERMA HOSP,SECONDARY,PRIVATE,1,1,2,2,31,
,,ST RITAS HOSP,SECONDARY,PRIVATE,1,1,2,2,32,
,INDUSTRIAL WARD,UNILEVER CLINIC,SECONDARY,PRIVATE,1,1,2,2,33,
,OGBOR WARD 1,ZIKORA HOSP,SECONDARY,PRIVATE,1,1,2,2,34,
,,NISSI HOSP,PRIMARY,PRIVATE,1,1,1,2,35,
,,LIVINH WORD HOSP,SECONDARY,PRIVATE,1,1,2,2,36,
,,ELLION HOSP,PRIMARY,PRIVATE,1,1,1,2,37,
,,EBENMA HOSP,SECONDARY,PRIVATE,1,1,2,2,38,
,,OKWUONU HOSP,PRIMARY,PRIVATE,1,1,1,2,39,
,OGBOR WARD 11,GMP HOSP,SECONDARY,PRIVATE,1,1,2,2,40,
,OLD GRA WARD,ROMALEX HOSP,SECONDARY,PRIVATE,1,1,2,2,41,
,,ROSEVINE HOSP,SECONDARY,PRIVATE,1,1,2,2,42,
,,NDUBUISI HOSP,PRIMARY,PRIVATE,1,1,1,2,43,
,,INPACT HOSP,PRIMARY,PRIVATE,1,1,1,2,44,
,,AUSTIN GRACE HOSP,PRIMARY,PRIVATE,1,1,1,2,45,
ABA SOUTH,GLOCESTER,ABSUTH,TERTIARY,PUBLIC,1,2,3,1,1,
,TOWN HALL WARD,HEALTH OFFICE,PRIMARY,PUBLIC,1,2,1,1,2,
,,ANC,PRIMARY,PUBLIC,1,2,1,1,3,
,,MATERNITY,PRIMARY,PUBLIC,1,2,1,1,4,
,,TREATMENT ROOM,PRIMARY,PUBLIC,1,2,1,1,5,
,,NPI,PRIMARY,PUBLIC,1,2,1,1,6,
,,PSYCHIATRIC,PRIMARY,PUBLIC,1,2,1,1,7,
,,NUTRITION,PRIMARY,PUBLIC,1,2,1,1,8,
,,FAMILY PLANNING,PRIMARY,PUBLIC,1,2,1,1,9,
,,MALARIA/HIV,PRIMARY,PUBLIC,1,2,1,1,10,
,IGWEBUIKE WARD,AMAFURU,PRIMARY,PUBLIC,1,2,1,1,11,
,,NDIEGORO,PRIMARY,PUBLIC,1,2,1,1,12,
,,MACRO HOSP,SECONDARY,PRIVATE,1,2,2,2,13,
,,VICTORY HOSP,PRIMARY,PRIVATE,1,2,1,2,14,
,,FAITH IN GOD HOSP,SECONDARY,PRIVATE,1,2,2,2,15,
,,CHINWE MATERNITY,PRIMARY,PRIVATE,1,2,1,2,16,
,UMUOGELE WARD,UMUOGELE,PRIMARY,PUBLIC,1,2,1,1,17,
,,AMANKITA,PRIMARY,PUBLIC,1,2,1,1,18,
,,OHAIZU,PRIMARY,PUBLIC,1,2,1,1,19,
,EZIUKWU WARD 1,EZIUKWU,PRIMARY,PUBLIC,1,2,1,1,20,
,,OBUDA,PRIMARY,PUBLIC,1,2,1,1,21,
,,144 OBOHIA,PRIMARY,PUBLIC,1,2,1,1,22,
,EZIUKWU WARD 11,ASA OKPUAJA,PRIMARY,PUBLIC,1,2,1,1,23,
,,EL-ASAMEN HOSP,PRIMARY,PRIVATE,1,2,1,2,24,
,,IKECHUKWU MATERNITY,PRIMARY,PRIVATE,1,2,1,2,25,
,,CLEHENSON HOSP,SECONDARY,PRIVATE,1,2,2,2,26,
,,LADY ANAESTHESIA,PRIMARY,PRIVATE,1,2,1,2,27,
,NGWA WARD 1,IGWEBUIKE,PRIMARY,PUBLIC,1,2,1,1,28,
,,AGU FOUNDATION,PRIMARY,PRIVATE,1,2,1,2,29,
,,SHAMAH HOSP,SECONDARY,PRIVATE,1,2,2,2,30,
,,PETRA HOSP,SECONDARY,PRIVATE,1,2,2,2,31,
,,GOD’S CARE HOSP,PRIMARY,PRIVATE,1,2,1,2,32,
,,AGC CENTRE,PRIMARY,PRIVATE,1,2,1,2,33,
,NGWA WARD 11,OZUITEM,PRIMARY,PUBLIC,1,2,1,1,34,
,,ADC HOSP,SECONDARY,PRIVATE,1,2,2,2,35,
,,JOHN OKORIE HOSP,PRIMARY,PRIVATE,1,2,1,2,36,
,,OUR LADY OF THE SICK,SECONDARY,PRIVATE,1,2,2,2,37,
,ENYIMBA WARD,ST PAUL,PRIMARY,PUBLIC,1,2,1,1,38,
,,ABAUKWU,PRIMARY,PUBLIC,1,2,1,1,39,
,,FAITH FOUNDATION HOSP,SECONDARY,PRIVATE,1,2,2,2,40,
,ELUOHAZU WARD,ST JUDE,PRIMARY,PUBLIC,1,2,1,1,41,
,,ASAEME,PRIMARY,PUBLIC,1,2,1,1,42,
,,ST JAMES,PRIMARY,PUBLIC,1,2,1,1,43,
,,ST JOSEPH HOSP,SECONDARY,PRIVATE,1,2,2,2,44,
,,OUR SAVIOUR MATERNITY,PRIMARY,PRIVATE,1,2,1,2,45,
,IHEORJI,ST JOHN,PRIMARY,PUBLIC,1,2,1,1,46,
,,PRESBY CENTRE,SECONDARY,PRIVATE,1,2,2,2,47,
,OKPOROENYI,UMUEBEKE,PRIMARY,PUBLIC,1,2,1,1,48,
,EKEOHA,CKC,PRIMARY,PUBLIC,1,2,1,1,49,
,ABA RIVER,222 CLIFORD,PRIMARY,PUBLIC,1,2,1,1,50,
,,NGWA RD CLINIC,PRIMARY,PUBLIC,1,2,1,1,51,
,,ST ANTHONY HOSP,SECONDARY,PRIVATE,1,2,2,2,52,
,,NEW ERA HOSP,SECONDARY,PRIVATE,1,2,2,2,53,
,ABA TOWN HALL,GEORGES,PRIMARY,PUBLIC,1,2,1,1,54,
,,NAZARETH HOSP,SECONDARY,PRIVATE,1,2,2,2,55,
,,EKEOMA HOSP,PRIMARY,PRIVATE,1,2,1,2,56,
,ASA WARD,MENDEL HOSP,PRIMARY,PRIVATE,1,2,1,2,57,
AROCHUKWU,ARO WARD 1,GEN HOSP AROCHUKWU,SECONDARY,PUBLIC,1,3,2,1,1,
,,HEALTH OFFICE,PRIMARY,PUBLIC,1,3,1,1,2,
,,UTUGHAUGWU,PRIMARY,PUBLIC,1,3,1,1,3,
,,UGWUAKUMA,PRIMARY,PUBLIC,1,3,1,1,4,
,ARO WARD 11,UGWUAVO,PRIMARY,PUBLIC,1,3,1,1,5,
,,OBINKITA,SECONDARY,PUBLIC,1,3,2,1,6,
,,ST ANTHONY”S HOSPITAL,SECONDARY,PRIVATE,1,3,2,2,7,
,,MODERN HOSPITAL ATANI ABAM,SECONDARY,PRIVATE,1,3,2,2,8,
,,MERCY HOSPITAL UMUYI,SECONDARY,PRIVATE,1,3,2,2,9,
,,THE LIGHT HOSPITAL,SECONDARY,PRIVATE,1,3,2,2,10,
,ARO WARD 111,MODEL AMUVI,PRIMARY,PUBLIC,1,3,1,1,11,
,,ASAGA,PRIMARY,PUBLIC,1,3,1,1,12,
,,ATAN BASIC,PRIMARY,PUBLIC,1,3,1,1,13,
,ARO WARD IV,AMANNAGWU,PRIMARY,PUBLIC,1,3,1,1,14,
,,IBOM,PRIMARY,PUBLIC,1,3,1,1,15,
,ISU WARD,ISU,PRIMARY,PUBLIC,1,3,1,1,16,
,,IHEOSU,PRIMARY,PUBLIC,1,3,1,1,17,
,,OBIEZE,PRIMARY,PUBLIC,1,3,1,1,18,
,UTUTU WARD,AMAKOFIA,PRIMARY,PUBLIC,1,3,1,1,19,
,,UKWUAKWU,PRIMARY,PUBLIC,1,3,1,1,20,
,,OBIENE,PRIMARY,PUBLIC,1,3,1,1,21,
,,ABUMA,PRIMARY,PUBLIC,1,3,1,1,22,
,ELEOHA WARD,NKPAKPI,PRIMARY,PUBLIC,1,3,1,1,23,
,,ELEOHA,PRIMARY,PUBLIC,1,3,1,1,24,
,IKWUN IHE WARD 1,UBURU,PRIMARY,PUBLIC,1,3,1,1,25,
,,ATAN,PRIMARY,PUBLIC,1,3,1,1,26,
,,OBICHIE,PRIMARY,PUBLIC,1,3,1,1,27,
,,UMUYE,PRIMARY,PUBLIC,1,3,1,1,28,
,,NDI OKPO,PRIMARY,PUBLIC,1,3,1,1,29,
,IKWUN IHIE WARD 11,UMUZOMGBO,PRIMARY,PUBLIC,1,3,1,1,30,
,ELEOHA IHIE WARD  1,ADUANU,PRIMARY,PUBLIC,1,3,1,1,31,
,,AMAMIRI,PRIMARY,PUBLIC,1,3,1,1,32,
,,ACHARA,PRIMARY,PUBLIC,1,3,1,1,33,
,,AMAFIA AMATIT,PRIMARY,PUBLIC,1,3,1,1,34,
,,OKPO,PRIMARY,PUBLIC,1,3,1,1,35,
,OHAFOR WARD 1,OZI ABAM,PRIMARY,PUBLIC,1,3,1,1,36,
,,AMURU ABAM,PRIMARY,PUBLIC,1,3,1,1,37,
,,NDI EMEME,PRIMARY,PUBLIC,1,3,1,1,38,
,OHAFOR WARD 11,NDI EBE,PRIMARY,PUBLIC,1,3,1,1,39,
,ETITI ABAM WARD,NDI OKORIE ABAM,PRIMARY,PUBLIC,1,3,1,1,40,
,,ATAM ABAM,PRIMARY,PUBLIC,1,3,1,1,41,
,OVUKWU ABAM WARD,NDI OJI ABAM,PRIMARY,PUBLIC,1,3,1,1,42,
,,NDI OKEREKE,PRIMARY,PUBLIC,1,3,1,1,43,
,OHAFOR ABAM WARD,AMAEKE,PRIMARY,PUBLIC,1,3,1,1,44,
,,IDIMA,PRIMARY,PUBLIC,1,3,1,1,45,
BENDE,UZUAKOLI WARD 1,UZUAKOLI,PRIMARY,PUBLIC,1,4,1,1,1,
,,COLONY,PRIMARY,PUBLIC,1,4,1,1,2,
,BENDE WARD,BENDE MATERNITY,PRIMARY,PUBLIC,1,4,1,1,3,
,,COMMUNITY,PRIMARY,PUBLIC,1,4,1,1,4,
,,OKPOROENYI,PRIMARY,PUBLIC,1,4,1,1,5,
,,ETITI-ULO,PRIMARY,PUBLIC,1,4,1,1,6,
,,STANDARD HEALTH CLINIC,PRIMARY,PUBLIC,1,4,1,1,7,
,,BENDE OVU,PRIMARY,PUBLIC,1,4,1,1,8,
,ALAYI WARD 1,ALAYI MATERNITY,PRIMARY,PUBLIC,1,4,1,1,9,
,,UMUENYERE,PRIMARY,PUBLIC,1,4,1,1,10,
,,AGBOAKOLI,PRIMARY,PUBLIC,1,4,1,1,11,
,ALAYI WARD 2,AMANKALU,PRIMARY,PUBLIC,1,4,1,1,12,
,,ISIAKU,PRIMARY,PUBLIC,1,4,1,1,13,
,,EZINNE CLINIC,PRIMARY,PRIVATE,1,4,1,2,14,
,IGBERE WARD 1,IGBERE,PRIMARY,PUBLIC,1,4,1,1,15,
,,UMUISI,PRIMARY,PUBLIC,1,4,1,1,16,
,,OKAFIA,PRIMARY,PUBLIC,1,4,1,1,17,
,IGBERE WARD 2,AMAIYI IGBERE,PRIMARY,PUBLIC,1,4,1,1,18,
,IGBERE WARD 3,AMANKALU IGBERE,PRIMARY,PUBLIC,1,4,1,1,19,
,ITEM WARD 1,UMUNNATO,PRIMARY,PUBLIC,1,4,1,1,20,
,,AMAEKPU,PRIMARY,PUBLIC,1,4,1,1,21,
,ITEM WARD 2,OKOKO MATERNITY,PRIMARY,PUBLIC,1,4,1,1,22,
,,OKAGWE,PRIMARY,PUBLIC,1,4,1,1,23,
,ITEM WARD 3,AKANU ITEM,PRIMARY,PUBLIC,1,4,1,1,24,
,,OKAI ITEM,PRIMARY,PUBLIC,1,4,1,1,25,
,ITEM WARD 4,AMAOKWE MATERNITY,PRIMARY,PUBLIC,1,4,1,1,26,
,,AMAOKWE,PRIMARY,PUBLIC,1,4,1,1,27,
,ITUMBAUZO WARD 1,ITUMBAUZO,PRIMARY,PUBLIC,1,4,1,1,28,
,,UBIBIA,PRIMARY,PUBLIC,1,4,1,1,29,
,,NTUBI,PRIMARY,PUBLIC,1,4,1,1,30,
,,OKOPEDI,PRIMARY,PUBLIC,1,4,1,1,31,
,ITUMBAUZO WARD 2,NTALAKWU,PRIMARY,PUBLIC,1,4,1,1,32,
,NKPA WARD 1,OKPUHU NKPA,PRIMARY,PUBLIC,1,4,1,1,33,
,,UGWU NKPA,PRIMARY,PUBLIC,1,4,1,1,34,
,NKPA WARD 2,AMAEGBUATO NKPA,PRIMARY,PUBLIC,1,4,1,1,35,
,OZUITEM WARD,ISIEGBU OZUITEM,PRIMARY,PUBLIC,1,4,1,1,36,
,,MBA,PRIMARY,PUBLIC,1,4,1,1,37,
,,UMUOBASIUKWU,PRIMARY,PUBLIC,1,4,1,1,38,
,UMUHU,UMUHU,PRIMARY,PUBLIC,1,4,1,1,39,
,,UMUOKWE,PRIMARY,PUBLIC,1,4,1,1,40,
,UMUIMENYI,AKOLI IMENYI,PRIMARY,PUBLIC,1,4,1,1,41,
,,LOHUM,PRIMARY,PUBLIC,1,4,1,1,42,
,,LODU IMENYI,PRIMARY,PUBLIC,1,4,1,1,43,
,,AMOJI LODU,PRIMARY,PUBLIC,1,4,1,1,44,
,,AMOJI IMENYI,PRIMARY,PUBLIC,1,4,1,1,45,
,UGWUEKE,AMABA,PRIMARY,PUBLIC,1,4,1,1,46,
,,NDIELU,PRIMARY,PUBLIC,1,4,1,1,47,
,,EZEUKWU,PRIMARY,PUBLIC,1,4,1,1,48,
,,ROYAL CROSS,SECONDARY,PRIVATE,1,4,2,2,49,
,UZUAKOLI WARD 1,UZUAKOLI,PRIMARY,PUBLIC,1,4,1,1,50,
,,ACHAMA HOSPITAL,PRIMARY,PRIVATE,1,4,1,2,51,
